num_res,num_rot,num_qubits,ground_state,cpu_calls_mean,std_cpu_calls,total_runs,successful_runs,convergence_ratio
5,5,25,0100000100000010010000010,18153290.404040404,5756144.212219234,500,495,0.99
5,6,30,000001001000000010001000000100,30891052.8,7321062.98868492,500,500,1.0
5,7,35,00000100010000000010000100000000001,53247743.85,12847306.7117095,500,500,1.0
5,8,40,0000000100100000000010000010000000000001,86599527.49490835,19921959.394639567,500,491,0.982
5,9,45,000000010001000000000010000001000000000000010,137588285.26490065,27141902.975734606,500,453,0.906
5,10,50,00000001000010000000000010000000100000000000000100,193623656.97674415,36279546.76417984,500,430,0.86
6,4,24,010010001000010000101000,18980847.589743588,5256953.892734288,350,100,0.7
6,5,30,010001000010000010000010010000,39192259.5,9851189.224297224,500,200,0.4
6,6,36,000001001000010000000001000100100000,69774698.82969432,13544219.790817969,500,458,0.916
6,7,42,000001010000001000000000001000100001000000,112399398.72,23475242.914511148,500,100,0.2
6,8,48,000000011000000010000000000001000010000010000000,170446568.72727272,35715982.53265585,500,55,0.11
6,9,54,000000010001000000010000000000001000000100000000001000,260673373.24137932,40126258.38963941,500,87,0.174
