num_res,num_rot,gs_energy,gs_bitstring
2,2,-0.2284452766180039,0101
2,3,-2.298123389482498,010010
2,4,-4.152577698230743,00010100
2,5,-8.785525470972061,0001000001
2,6,-10.309481078758836,000001000010
2,7,-10.312078410759568,00000100000100
2,8,-9.5785628631711,0000010000001000
2,9,-9.05886337161064,000001000000010000
2,10,-7.513929039239883,00000100000000100000
2,11,-8.308686085045338,0000010000000001000000
2,12,-9.238671824336052,000001000000000010000000
2,13,-9.731192454695702,00000100000000000100000000
2,14,-9.022168219089508,0000010000000000001000000000
2,15,-11.135131433606148,000001000000000000010000000000
2,16,-12.90031649172306,00000100000000000000100000000000
2,17,-9.908525742590427,0000010000000000000001000000000000
2,18,-8.0413703545928,000001000000000000000010000000000000
2,19,-5.925163693726063,00000100000000000000000100000000000000
2,20,-2.18593180924654,0000010000000000000000001000000000000000
2,21,-4.06516545265913,000001000000000000000000010000000000000000
2,22,-0.1873309463262558,00000100000000000000000000100000000000000000
2,23,1.855403691530228,0000010000000000000000000001000000000000000000
2,24,4.337513878941536,000001000000000000000000000010000000000000000000
2,25,12.636599108576776,00000100000000000000000000000100000000000000000000
2,26,20.46302317082882,0000010000000000000000000000001000000000000000000000
2,27,27.850876837968823,000001000000000000000000000000010000000000000000000000
2,28,35.73753175884485,00000100000000000000000000000000100000000000000000000000
2,29,45.01190835982561,0000010000000000000000000000000001000000000000000000000000
2,30,40.33056979626417,000001000000000000000000000000000010000000000000000000000000
2,31,48.50780860334635,00000100000000000000000000000000000100000000000000000000000000
2,32,58.41838280111551,0000010000000000000000000000000000001000000000000000000000000000
2,33,68.03800304979086,000001000000000000000000000000000000010000000000000000000000000000
2,34,78.97009901702404,00000100000000000000000000000000000000100000000000000000000000000000
2,35,44.72417240589857,0000010000000000000000000000000000000001000000000000000000000000000000
2,36,16.15887838602066,000001000000000000000000000000000000000010000000000000000000000000000000
2,37,29.39276222139597,00000100000000000000000000000000000000000100000000000000000000000000000000
2,38,-11.686684764921663,0000010000000000000000000000000000000000001000000000000000000000000000000000
2,39,3.200092539191246,000001000000000000000000000000000000000000010000000000000000000000000000000000
2,40,15.931587666273115,00000100000000000000000000000000000000000000100000000000000000000000000000000000
2,41,21.619900405406952,0000010000000000000000000000000000000000000001000000000000000000000000000000000000
2,42,34.54524929076433,000001000000000000000000000000000000000000000010000000000000000000000000000000000000
2,43,-131.0416469052434,00000100000000000000000000000000000000000000000100000000000000000000000000000000000000
2,44,-116.51188968867064,0000010000000000000000000000000000000000000000001000000000000000000000000000000000000000
2,45,-102.66265393793584,000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000
2,46,-85.98029302060604,00000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000
2,47,-69.5626850426197,0000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000
2,48,-83.93417824804783,000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000
2,49,-69.4562659189105,00000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000
2,50,-131.46416640281677,0000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000
3,2,-2.4279450960457325,100110
3,3,-8.259244199842215,001010100
3,4,-15.151190038770435,001001001000
3,5,-19.57805623486638,001000100010000
3,6,-23.62992981262505,000001010000100000
3,7,-29.00557285733521,000001001000000000001
3,8,-33.11508227698505,000001000100000000000001
3,9,-37.71335825696588,000001000010000000000000010
3,10,-40.57445054128766,000001000001000000000000000100
3,11,-44.09128909185529,000001000000100000000000000001000
3,12,-48.81730864755809,000001000000010000000000000000010000
3,13,-56.063067864626646,000001000000001000000000000000000100000
3,14,-62.33402601908893,000001000000000100000000000000000001000000
3,15,-70.65273689106107,000001000000000010000000000000000000010000000
3,16,-76.46580263972282,000001000000000001000000000000000000000100000000
3,17,-81.33211562223732,000001000000000000010000000000000000000000000000001
3,18,-91.71821869909763,000001000000000000001000000000000000000000000000001000
3,19,-110.1429475992918,000001000000000000000100000000000000000000000000001000000
3,20,-328.7681364119053,000001000000000000000010000000000000000000000000001000000000
3,21,-469.7633570954204,000001000000000000000001000000000000000000000000001000000000000
3,22,-474.1805184017867,000001000000000000000000100000000000000000000000001000000000000000
3,23,-481.7441445086152,000001000000000000000000010000000000000000000000001000000000000000000
3,24,-703.7755886707455,000001000000000000000000001000000000000000000000001000000000000000000000
3,25,-1153.9402615968138,000001000000000000000000000100000000000000000000001000000000000000000000000
3,26,-1305.2687807544137,000001000000000000000000000000000000000000000000001010000000000000000000000000
3,27,-1381.3711686520835,000001000000000000000000000000000000000000000000001000100000000000000000000000000
3,28,-1673.865797625389,000001000000000000000000000000000000000000000000001000001000000000000000000000000000
3,29,-1997.4616715102457,000001000000000000000000000000000000000000000000001000000010000000000000000000000000000
3,30,-2250.768367023673,000001000000000000000000000000000000000000000000001000000000100000000000000000000000000000
3,31,-2421.2830595928244,000001000000000000000000000000000000000000000000001000000000001000000000000000000000000000000
3,32,-2427.443651021924,000001000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000
3,33,-2527.671866917517,000001000000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000
4,2,-2.342811832204461,01010110
4,3,-6.630998300388455,010001010100
4,4,-21.897147878538817,1000001010000001
4,5,-35.78897044819314,10000001000000100010
4,6,-52.37315536302049,100000001000000010000100
4,7,-63.128022619872354,1000000001000000001000001000
4,8,-34.16328587196767,00000001001000000000100000000001
4,9,-33.54975719936192,000000010001000000000010000000000010
4,10,-33.59295381046832,0000000100001000000000001000000000000100
4,11,-33.01171652786434,00000001000001000000000000100000000000000001
4,12,-33.18086216971278,000000010000001000000000000010000000000000000010
4,13,-32.88410361856222,0000000100000001000000000000001000000000000000000100
4,14,-32.796281807124615,00000001000000001000000000000000100000000000000001000000
4,15,-33.43674037232995,000000010000000001000000000000000010000000000000001000000000
4,16,-31.88578052446246,0000000100000000001000000000000000001000000000000010000000000000
4,17,-28.530297555029392,00000001000000000000100000000000000000000000000000110000000000000000
4,18,-32.578673569485545,000000010000000000000100000000000000000000000000001000100000000000000000
4,19,-29.467370184138417,0000000100000000000000100000000000000000000000000010000001000000000000000000
4,20,-35.76616338454187,00000001000000000000000100000000000000000000000000100000000010000000000000000000
4,21,-31.9560950640589,000000010000000000000000100000000000000000000000001000000000000100000000000000000000
4,22,-28.178480001166463,0000000100000000000000000100000000000000000000000010000000000000001000000000000000000000
4,23,-243.84844610095024,00000001000000000000000000100000000000000000000000100000000000000000010000000000000000000000
4,24,-232.98214312270284,000000010000000000000000000100000000000000000000001000000000000000000000100000000000000000000000
4,25,-226.788786130026,0000000100000000000000000000100000000000000000000010000000000000000000000001000000000000000000000000
5,2,-3.17943874001503,0101100110
5,3,-25.632219582796097,010010100001001
5,4,-41.59553128480911,01000010000100100001
5,5,-56.03688323218376,0100000100000010010000010
