num_qubits,num_rot,qpu_calls_mean,std_qpu_calls,n_runs
4,2,10.0,5.0,3
6,2,10.0,5.0,3
6,3,12.5,4.330127018922194,3
8,2,27.727272727272727,13.29729979425078,11
8,4,25.0,13.228756555322953,3
9,3,27.727272727272727,16.935707301975366,11
10,2,56.36363636363637,26.84128434808114,11
10,5,80.0,26.457513110645905,3
12,3,210.83333333333334,215.73769634254558,24
12,4,45.0,38.32427429188973,9
14,2,135.35714285714286,118.10139525187482,14
15,3,353.84615384615387,488.19887446166956,13
15,5,382.0,117.5053190285444,5
16,4,401.5625,186.83075005647936,16
18,3,492.14285714285717,222.68220098912855,14
20,4,428.1818181818182,285.87823218350087,11
20,5,312.14285714285717,188.77860746748462,14
21,3,507.5,367.9585279088794,24
24,4,1407.8125,1315.7608302803362,16
25,5,1150.0,402.2954967019475,7
28,4,200.0,,1
